Component,Explained_Variance,Cumulative_Variance
343,0.0013390069633711428,0.865672151677971
344,0.0013377464933086356,0.8670098981712796
345,0.0013322709592945119,0.8683421691305742
346,0.0013281628454640782,0.8696703319760383
347,0.0013266513037868968,0.8709969832798252
348,0.0013206052763179094,0.8723175885561432
349,0.0013127953549252577,0.8736303839110684
350,0.0013103501169859431,0.8749407340280544
351,0.001305816431610876,0.8762465504596653
352,0.0012993082704922266,0.8775458587301574
353,0.0012959406842045417,0.878841799414362
354,0.0012894998085199861,0.880131299222882
355,0.0012857909115268555,0.8814170901344088
356,0.0012795891282841234,0.8826966792626929
357,0.0012763102659122893,0.8839729895286051
358,0.0012731659420052385,0.8852461554706104
359,0.0012695639725794738,0.8865157194431899
360,0.0012639797987939875,0.8877796992419839
361,0.0012557898793221342,0.889035489121306
362,0.0012482427665277674,0.8902837318878338
363,0.001246131945498896,0.8915298638333328
364,0.0012417022318467505,0.8927715660651795
365,0.001240090616780349,0.8940116566819598
366,0.0012336989209426128,0.8952453556029024
367,0.0012327729464422818,0.8964781285493447
368,0.0012258697026975916,0.8977039982520423
369,0.001220581721471845,0.8989245799735142
370,0.001214316536634324,0.9001388965101484
371,0.0012086688701333215,0.9013475653802817
372,0.001202254215879046,0.9025498195961608
373,0.0011947673275043472,0.9037445869236651
374,0.0011930004353013697,0.9049375873589665
375,0.0011843324776282453,0.9061219198365947
376,0.001181718893028329,0.907303638729623
377,0.0011779230829371422,0.9084815618125602
378,0.0011735685516289444,0.9096551303641892
379,0.0011653245933908579,0.91082045495758
380,0.001152951138112647,0.9119734060956927
381,0.0011502059729932435,0.9131236120686859
382,0.001145351140919355,0.9142689632096053
383,0.0011394613277615614,0.9154084245373668
384,0.0011391272230745265,0.9165475517604413
385,0.0011363386142592598,0.9176838903747006
386,0.0011298810058640468,0.9188137713805646
387,0.0011247340968072942,0.9199385054773719
388,0.001122366506280502,0.9210608719836524
389,0.001110188191575241,0.9221710601752277
390,0.001107181092378594,0.9232782412676063
391,0.001100407936586243,0.9243786492041925
392,0.0010962972978299456,0.9254749465020224
393,0.0010893169891546901,0.9265642634911772
394,0.001084375859000738,0.9276486393501779
395,0.0010797800714947134,0.9287284194216726
396,0.001075414271522505,0.9298038336931951
397,0.001068751644327969,0.930872585337523
398,0.0010597817729544163,0.9319323671104774
399,0.0010585038102888693,0.9329908709207663
400,0.0010469735435148827,0.9340378444642812
401,0.0010433164148004755,0.9350811608790817
402,0.0010333818805190705,0.9361145427596007
403,0.0010307624993219665,0.9371453052589227
404,0.0010238524724763525,0.9381691577313991
405,0.0010173091640057353,0.9391864668954049
406,0.0010131704312850794,0.94019963732669
407,0.0010084336879075777,0.9412080710145976
408,0.0010034046900765402,0.9422114757046741
409,0.0009963267393476567,0.9432078024440218
410,0.000989104790841551,0.9441969072348634
411,0.000980375476463866,0.9451772827113273
412,0.0009745104061658135,0.9461517931174931
413,0.0009739546240646539,0.9471257477415578
414,0.000967660246472579,0.9480934079880303
415,0.0009561039160194606,0.9490495119040497
416,0.0009512454734256328,0.9500007573774754
